ID;LABEL;DICE;HDRFDST
Patient 0;Amygdala;0.6339612032611751;4.123105625617661
Patient 1;Amygdala;0.6734863146253801;5.385164807134504
Patient 2;Amygdala;0.7815718157181571;3.1622776601683795
Patient 3;Amygdala;0.7684756696115552;3.1622776601683795
Patient 4;Amygdala;0.6410680228862047;5.385164807134504
Patient 5;Amygdala;0.762033167048672;3.1622776601683795
Patient 6;Amygdala;0.6540568745108271;4.358898943540674
Patient 7;Amygdala;0.7691039032435404;20.024984394500787
Patient 8;Amygdala;0.7572841486233627;3.605551275463989
Patient 9;Amygdala;0.7545140222819823;5.0990195135927845
