ID;LABEL;DICE;HDRFDST
Patient 0;Thalamus;0.8174866240375832;52.92447448959697
Patient 1;Thalamus;0.8713728886964054;5.477225575051661
Patient 2;Thalamus;0.8541737917971114;5.385164807134504
Patient 3;Thalamus;0.8521146180651308;6.48074069840786
Patient 4;Thalamus;0.8275295747902178;5.477225575051661
Patient 5;Thalamus;0.8135275531516093;5.0
Patient 6;Thalamus;0.8600797790733353;6.164414002968976
Patient 7;Thalamus;0.8599118488542928;5.0
Patient 8;Thalamus;0.8870556472176391;4.358898943540674
Patient 9;Thalamus;0.8247005834783498;5.477225575051661
