ID;LABEL;DICE;HDRFDST
Patient 0;Hippocampus;0.6428642170941864;5.0
Patient 1;Hippocampus;0.741296096715243;5.385164807134504
Patient 2;Hippocampus;0.6310934787999009;5.385164807134504
Patient 3;Hippocampus;0.7420418204182042;5.0
Patient 4;Hippocampus;0.7023067023067023;14.560219778561036
Patient 5;Hippocampus;0.6854771784232365;7.0710678118654755
Patient 6;Hippocampus;0.7274094969440527;5.0
Patient 7;Hippocampus;0.7430853135956369;4.69041575982343
Patient 8;Hippocampus;0.7178890182382616;4.358898943540674
Patient 9;Hippocampus;0.7227447731370924;18.0
