ID;LABEL;DICE;HDRFDST
Patient 0;White Matter;0.6869207573842787;10.488088481701515
Patient 1;White Matter;0.7011334026839977;12.206555615733702
Patient 2;White Matter;0.6640562318878749;11.357816691600547
Patient 3;White Matter;0.6930958196074626;10.63014581273465
Patient 4;White Matter;0.7010361135032986;11.357816691600547
Patient 5;White Matter;0.7038946183067373;10.723805294763608
Patient 6;White Matter;0.6626134616921363;19.849433241279208
Patient 7;White Matter;0.7167309574377184;10.04987562112089
Patient 8;White Matter;0.727663824504124;11.180339887498949
